ID,N_VICTIMAS,HORA_ACCIDENTE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,ACUSADO,FECHA_ACCIDENTE,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,SEMESTRE,ANIO
2020-0053,1,03:30:00,Alcorta Amancio Av. Y Einstein Alberto,Avenida,4,-58.41125934,-34.65417740,Auto-Auto,Auto,2020-11-09,Pasajero_Acompañante,Auto,Masculino,27,2020-11-09 00:00:00,2,2020
2020-0054,1,09:00:00,Inclan Y Alberti,Calle,4,-58.39956546,-34.62977080,Bicicleta-Auto,Auto,2020-11-19,Ciclista,Bicicleta,Masculino,59,2020-11-23 00:00:00,2,2020
2020-0055,1,12:30:00,Olazabal Av. 5437,Avenida,12,-58.49005682,-34.57868970,Peaton-Cargas,Cargas,2020-11-19,Peaton,Peaton,Masculino,91,2020-12-11 00:00:00,2,2020
2020-0056,1,13:00:00,Paz Gral. Av. Y Doctor Ramon Carrillo,Gral Paz,8,-58.47064556,-34.69843756,Moto-Cargas,Cargas,2020-11-21,Conductor,Moto,Femenino,34,2020-11-21 00:00:00,2,2020
2020-0057,1,07:45:00,Nazca Av. Y Viale Luis,Avenida,11,-58.47501560,-34.61945902,Peaton-Auto,Auto,2020-11-23,Peaton,Peaton,Masculino,84,2020-11-23 00:00:00,2,2020
2020-0058,1,16:00:00,Olivera Av. Y Falcon Ramon L. Cnel.,Avenida,10,-58.48727942,-34.63652467,Peaton-Auto,Auto,2020-11-24,Peaton,Peaton,Masculino,57,2020-11-25 00:00:00,2,2020
2020-0059,1,06:35:00,Brasil 1100,Calle,1,-58.37951690,-34.62794241,Peaton-Pasajeros,Pasajeros,2020-12-01,Peaton,Peaton,Femenino,49,2020-12-14 00:00:00,2,2020
2020-0060,1,20:30:00,Homero Y Peron Eva Av.,Avenida,9,-58.47750832,-34.65672199,Peaton-Moto,Moto,2020-12-03,Peaton,Peaton,Femenino,69,2020-12-03 00:00:00,2,2020
2020-0061,1,14:40:00,Cantilo Int. Y Udaondo Guillermo Av.,Autopista,13,-58.44927253,-34.54048625,Moto-Cargas,Cargas,2020-12-03,Conductor,Moto,Masculino,45,2020-12-04 00:00:00,2,2020
2020-0062,1,17:19:00,Moreno 1845,Calle,3,-58.39246272,-34.61253541,Bicicleta-Pasajeros,Pasajeros,2020-12-04,Ciclista,Bicicleta,Masculino,47,2020-12-04 00:00:00,2,2020
2020-0063,2,07:10:00,Nueva York Y Alta Gracia,Calle,11,-58.52783814,-34.61047001,Peaton-Moto,Moto,2020-12-05,Peaton,Peaton,Masculino,38,2020-12-05 00:00:00,2,2020
2020-0063,2,07:10:00,Nueva York Y Alta Gracia,Calle,11,-58.52783814,-34.61047001,Peaton-Moto,Moto,2020-12-05,Pasajero_Acompañante,Peaton,Masculino,21,2020-12-05 00:00:00,2,2020
2020-0065,1,16:00:00,Paz Gral. Av. Y Goyeneche Roberto Parque Av.,Gral Paz,12,-58.49332664,-34.54836855,Moto-Auto,Auto,2020-12-05,Conductor,Moto,Masculino,24,2020-12-06 00:00:00,2,2020
2020-0066,1,04:30:00,Autopista Perito Moreno Altura Estacion De Tren Villa Luro,Autopista,10,-58.50178784,-34.63593897,Moto-Objeto Fijo,Objeto Fijo,2020-12-07,Conductor,Moto,Masculino,27,2020-12-07 00:00:00,2,2020
2020-0067,1,22:00:00,Saenz Av. Y Beazley,Avenida,4,-58.41657793,-34.65476216,Peaton-Pasajeros,Pasajeros,2020-12-11,Peaton,Peaton,Masculino,51,2020-12-11 00:00:00,2,2020
2020-0068,1,20:30:00,Del Libertador Av. Y Austria,Avenida,2,-58.39731474,-34.58307887,Moto-Auto,Auto,2020-12-12,Conductor,Moto,Masculino,71,2020-12-20 00:00:00,2,2020
2020-0069,1,05:20:00,Independencia Av. Y Saenz Peña Luis Pres.,Avenida,1,-58.38746381,-34.61790839,Moto-Pasajeros,Pasajeros,2020-12-15,Pasajero_Acompañante,Moto,Masculino,25,2020-12-15 00:00:00,2,2020
2020-0070,1,15:35:00,Callao Av. Y Las Heras General,Avenida,2,-58.39189441,-34.59176378,Peaton-Pasajeros,Pasajeros,2020-12-17,Peaton,Peaton,Femenino,81,2020-12-22 00:00:00,2,2020
2020-0071,1,23:00:00,San Pedrito Av. Y Directorio Av.,Avenida,7,-58.46749188,-34.63551751,Peaton-Auto,Auto,2020-12-17,Peaton,Peaton,Masculino,4,2020-12-17 00:00:00,2,2020
2020-0072,1,03:30:00,Jujuy Av. Y Carlos Calvo,Avenida,3,-58.40280471,-34.62113271,Bicicleta-Auto,Auto,2020-12-19,Ciclista,Bicicleta,Masculino,42,2020-12-19 00:00:00,2,2020
2020-0073,1,07:40:00,27 De Febrero Av. Y Escalada Av.,Avenida,8,-58.44451316,-34.68475866,Moto-Objeto Fijo,Objeto Fijo,2020-12-20,Conductor,Moto,Masculino,56,2020-12-20 00:00:00,2,2020
2020-0074,1,21:00:00,Bogota Y Nazca Av.,Avenida,7,-58.47110424,-34.62742408,Auto-Auto,Auto,2020-12-20,Conductor,Auto,Masculino,39,2020-12-20 00:00:00,2,2020
2020-0075,1,14:00:00,Corrientes Av. Y 9 De Julio Av.,Avenida,1,-58.38220928,-34.60373898,Peaton-Pasajeros,Pasajeros,2020-12-23,Peaton,Peaton,Masculino,23,2020-12-23 00:00:00,2,2020
2020-0076,1,12:30:00,Alvarez Jonte Av. Y Chivilcoy,Avenida,10,-58.49794468,-34.61565025,Auto-Pasajeros,Pasajeros,2020-12-24,Conductor,Auto,Femenino,78,2021-01-17 00:00:00,2,2020
2020-0077,2,06:40:00,San Martin Av. Y Punta Arenas,Avenida,15,-58.47220945,-34.60111373,Moto-Auto,Auto,2020-12-25,Conductor,Moto,Femenino,30,2020-12-25 00:00:00,2,2020
